Date,Funding for Lending (FLS)
Jan 2007,11.7
Feb 2007,11.9
Mar 2007,11.8
Apr 2007,11.7
May 2007,11.7
Jun 2007,11.7
Jul 2007,11.5
Aug 2007,11.6
Sep 2007,11.5
Oct 2007,11.6
Nov 2007,11.4
Dec 2007,11.1
Jan 2008,10.8
Feb 2008,11.2
Mar 2008,11.0
Apr 2008,10.7
May 2008,10.1
Jun 2008,9.4
Jul 2008,8.7
Aug 2008,7.8
Sep 2008,6.9
Oct 2008,6.5
Nov 2008,5.7
Dec 2008,5.0
Jan 2009,4.7
Feb 2009,3.7
Mar 2009,2.8
Apr 2009,2.0
May 2009,1.6
Jun 2009,0.9
Jul 2009,0.2
Aug 2009,0.0
Sep 2009,-0.3
Oct 2009,-0.7
Nov 2009,-0.7
Dec 2009,-0.7
Jan 2010,-1.0
Feb 2010,-1.1
Mar 2010,-1.1
Apr 2010,-1.0
May 2010,-1.1
Jun 2010,-0.8
Jul 2010,-0.7
Aug 2010,-0.7
Sep 2010,-0.7
Oct 2010,-0.6
Nov 2010,-0.6
Dec 2010,-0.5
Jan 2011,-0.4
Feb 2011,-0.4
Mar 2011,-0.3
Apr 2011,0.0
May 2011,-0.1
Jun 2011,-0.2
Jul 2011,0.0
Aug 2011,0.1
Sep 2011,0.4
Oct 2011,0.5
Nov 2011,0.6
Dec 2011,0.4
Jan 2012,0.3
Feb 2012,0.2
Mar 2012,0.2
Apr 2012,0.1
May 2012,0.2
Jun 2012,0.2
Jul 2012,0.2
Aug 2012,0.0
Sep 2012,-0.1
Oct 2012,-0.2
Nov 2012,-0.4
Dec 2012,-0.2
Jan 2013,-0.1
Feb 2013,-0.1
Mar 2013,-0.1
Apr 2013,-0.3
May 2013,-0.3
